Seconds,Longitude,Latitude,Altitude
42352.236,-2.835267796603413,55.89069250286569,60.3
42352.269,-2.8352682086156897,55.89069277656153,60.3
42352.303,-2.8352689309891606,55.89069299801688,60.3
42352.335999999996,-2.835269347798317,55.89069321324507,60.3
42352.369999999995,-2.835269824430984,55.89069347060436,60.3
42352.403999999995,-2.83527029590013,55.890693732601456,60.3
42352.437,-2.8352707773296775,55.89069399229919,60.2
42352.471,-2.8352712033048464,55.890694210074265,60.2
42352.505,-2.835272263751424,55.89069429390005,60.2
42352.538,-2.835272921718378,55.89069448289726,60.2
42352.572,-2.8352736097193008,55.890694664097474,60.2
42352.606,-2.8352742247587615,55.89069480850138,60.2
42352.638999999996,-2.835274968825129,55.89069496402429,60.1
42352.672999999995,-2.8352762643799356,55.890694962402364,60.1
42352.706999999995,-2.8352771407729755,55.89069506657718,60.1
42352.740999999995,-2.835277921564501,55.89069514269065,60.0
42352.774,-2.8352788659999093,55.890695215833844,60.0
42352.808,-2.835279844441225,55.89069527187837,60.0
42352.841,-2.835280714326396,55.89069530476643,59.9
42352.875,-2.835282379210412,55.89069515262416,59.9
42352.907999999996,-2.8352835804469456,55.89069511713711,59.9
42352.941999999995,-2.8352848169726297,55.890695061372675,59.9
42352.975999999995,-2.8352859062921474,55.890694997238036,59.9
42353.009,-2.8352872068271537,55.890694907100404,59.9
42353.043,-2.83528853351585,55.8906948021765,59.9
42353.075999999994,-2.835289658430051,55.89069470893831,59.9
42353.11,-2.8352916959124888,55.89069443871431,59.9
42353.144,-2.8352932159735023,55.89069427304945,59.9
42353.176999999996,-2.8352947558025505,55.890694092272625,59.9
42353.210999999996,-2.835296092329434,55.89069392839254,59.9
42353.244999999995,-2.835297664850594,55.89069372610722,59.9
42353.278,-2.8353002819916835,55.890693342751966,59.9
42353.312,-2.835302008715733,55.890693119941744,59.9
42353.346,-2.835303506564442,55.89069292171451,59.9
42353.37899999999,-2.8353052710524644,55.89069268187077,59.9
42353.413,-2.83530705213097,55.89069243370893,59.9
42353.445999999996,-2.8353085962374904,55.89069221478743,60.0
42353.479999999996,-2.8353110250475693,55.890691915896305,60.0
42353.513,-2.8353128955863602,55.89069167327118,60.0
42353.547,-2.835314784457177,55.890691426399066,60.0
42353.581,-2.835316420040505,55.890691211424915,60.0
42353.613999999994,-2.8353183433755302,55.89069095925711,60.0
42353.647999999994,-2.8353202803373607,55.89069070479645,60.0
42353.682,-2.835322831177623,55.89069049514406,60.0
42353.716,-2.835324533550632,55.89069030202363,60.0
42353.748999999996,-2.8353265281361297,55.890690076484134,60.1
42353.782999999996,-2.8353285365317533,55.89068985515254,60.1
42353.816,-2.8353302601699117,55.89068966789125,60.1
42353.85,-2.835332258849562,55.89068945450972,60.1
42353.882999999994,-2.8353347121634482,55.89068935262124,60.1
42353.916999999994,-2.835336689883482,55.89068917580804,60.1
42353.950999999994,-2.835338376735376,55.890689028316615,60.2
42353.984,-2.835340327201799,55.89068886429322,60.2
42354.017,-2.8353422511478907,55.89068871378265,60.2
42354.051,-2.8353438826981736,55.89068859566184,60.2
42354.085,-2.8353459047817102,55.89068869595119,60.2
42354.117999999995,-2.8353477070642583,55.89068864679172,60.2
42354.151999999995,-2.835349489975967,55.89068860958178,60.2
42354.185999999994,-2.835351003712432,55.89068858931742,60.2
42354.219,-2.835352756987365,55.890688581719104,60.2
42354.252,-2.835354497918735,55.89068859261665,60.2
42354.286,-2.8353559119900864,55.890688927486615,60.2
42354.32,-2.8353575368186266,55.890689036960396,60.2
42354.352999999996,-2.8353591474704003,55.890689165946185,60.2
42354.386999999995,-2.835360742906593,55.890689314401655,60.2
42354.420999999995,-2.8353620986209966,55.890689455991605,60.2
42354.454,-2.8353636697367017,55.89068964172867,60.1
42354.488,-2.835365058632072,55.89069015493605,60.1
42354.521,-2.835366337168648,55.89069037960921,60.1
42354.555,-2.835367818274107,55.890690660743786,60.1
42354.587999999996,-2.835369286669361,55.890690961699775,60.1
42354.621999999996,-2.83537074333212,55.890691283981866,60.1
42354.655999999995,-2.835371980193891,55.89069157751867,60.0
42354.689,-2.83537336346744,55.890692288210715,60.0
42354.723,-2.835374800881571,55.8906927143224,60.0
42354.755999999994,-2.835376023872109,55.89069309705884,60.0
42354.78999999999,-2.835377439348917,55.890693560468414,60.0
42354.824,-2.835378843154334,55.890694041888565,60.0
42354.856999999996,-2.835380233516266,55.8906945434884,59.9
42354.890999999996,-2.835381361730232,55.890695312713234,59.9
42354.924999999996,-2.8353827256940467,55.890695891501316,59.9
42354.958,-2.8353840760310565,55.89069648800687,59.9
42354.992,-2.8353854150633166,55.89069709971557,59.9
42355.026,-2.8353865520766544,55.890697634385845,59.9
42355.058999999994,-2.8353878670328543,55.89069827163506,59.9
42355.093,-2.8353891137939193,55.890699159058876,59.9
42355.126,-2.8353902094990926,55.89069973856998,59.9
42355.159999999996,-2.835391473308941,55.89070042802712,59.9
42355.193,-2.8353927269139616,55.89070113223795,59.9
42355.227,-2.835393971964037,55.89070184835597,59.9
42355.261,-2.8353950314329066,55.89070247051277,59.9
42355.293999999994,-2.8353964940230196,55.89070348638825,59.9
42355.327999999994,-2.835397810629102,55.8907042513205,59.9
42355.361999999994,-2.8353991194135197,55.89070502820553,59.9
42355.396,-2.835400232350797,55.8907057021208,59.9
42355.429,-2.83540152054224,55.890706498468994,59.9
42355.462999999996,-2.8354027973678266,55.89070730759071,59.9
42355.496,-2.8354040294632705,55.89070821090813,59.9
42355.53,-2.8354053026835593,55.890709046755866,59.9
