Trigger timestamp	Date	Time	Filename	GPS Timestamp date	GPS Timestamp time	FIX	Longitude	E/W	Latitude	N/S	Altitude	Satellites locked	Compass variation	Speed over ground [m/s]	Track course	Compass heading 	
1500396974070308	18/07/2017	16:56:14.070	20170718165614070_02-00000.raw	18/07/2017	16:56:13.799	3D	2.8347476963	W	55.8905971535	N	170.547	12	0.000	0.005	169.475	0.000	
1500396975070317	18/07/2017	16:56:15.070	20170718165615070_02-00001.raw	18/07/2017	16:56:15.000	3D	2.8347484707	W	55.8905975167	N	170.665	12	0.000	0.019	207.966	0.000	
1500396976070328	18/07/2017	16:56:16.070	20170718165616070_02-00002.raw	18/07/2017	16:56:15.799	3D	2.8347487662	W	55.8905977398	N	170.756	12	0.000	0.015	133.788	0.000	
1500396977070338	18/07/2017	16:56:17.070	20170718165617070_02-00003.raw	18/07/2017	16:56:17.000	3D	2.8347490444	W	55.8905986991	N	170.648	12	0.000	0.008	176.578	0.000	
1500396978070343	18/07/2017	16:56:18.070	20170718165618070_02-00004.raw	18/07/2017	16:56:17.799	3D	2.8347492199	W	55.8905983403	N	170.554	12	0.000	0.003	169.475	0.000	
1500396979070355	18/07/2017	16:56:19.070	20170718165619070_02-00005.raw	18/07/2017	16:56:19.000	3D	2.8347498331	W	55.8905981313	N	170.220	12	0.000	0.033	292.553	0.000	
1500396980070365	18/07/2017	16:56:20.070	20170718165620070_02-00006.raw	18/07/2017	16:56:19.799	3D	2.8347499121	W	55.8905978667	N	169.998	12	0.000	0.030	177.207	0.000	
1500396981070375	18/07/2017	16:56:21.070	20170718165621070_02-00007.raw	18/07/2017	16:56:21.000	3D	2.8347500797	W	55.8905970811	N	169.852	12	0.000	0.030	219.581	0.000	
1500396982070383	18/07/2017	16:56:22.070	20170718165622070_02-00008.raw	18/07/2017	16:56:21.799	3D	2.8347501113	W	55.8905966731	N	169.714	12	0.000	0.024	201.749	0.000	
1500396983070392	18/07/2017	16:56:23.070	20170718165623070_02-00009.raw	18/07/2017	16:56:23.000	3D	2.8347500718	W	55.8905953952	N	169.593	12	0.000	0.010	87.652	0.000	
1500396984070400	18/07/2017	16:56:24.070	20170718165624070_02-00010.raw	18/07/2017	16:56:23.799	3D	2.8347506628	W	55.8905941290	N	169.495	12	0.000	0.054	188.074	0.000	
1500396985070419	18/07/2017	16:56:25.070	20170718165625070_02-00011.raw	18/07/2017	16:56:25.000	3D	2.8347505759	W	55.8905921536	N	169.366	12	0.000	0.021	203.444	0.000	
1500396986070422	18/07/2017	16:56:26.070	20170718165626070_02-00012.raw	18/07/2017	16:56:25.799	3D	2.8347502171	W	55.8905911853	N	169.294	12	0.000	0.015	133.788	0.000	
1500396987070428	18/07/2017	16:56:27.070	20170718165627070_02-00013.raw	18/07/2017	16:56:27.000	3D	2.8347498742	W	55.8905897611	N	169.112	12	0.000	0.013	227.565	0.000	
1500396988070438	18/07/2017	16:56:28.070	20170718165628070_02-00014.raw	18/07/2017	16:56:27.799	3D	2.8347495312	W	55.8905889916	N	169.037	12	0.000	0.017	176.578	0.000	
1500396989070448	18/07/2017	16:56:29.070	20170718165629070_02-00015.raw	18/07/2017	16:56:29.000	3D	2.8347492040	W	55.8905883707	N	168.951	12	0.000	0.027	198.635	0.000	
1500396990070457	18/07/2017	16:56:30.070	20170718165630070_02-00016.raw	18/07/2017	16:56:29.799	3D	2.8347490760	W	55.8905881174	N	168.837	12	0.000	0.011	102.127	0.000	
1500396991070465	18/07/2017	16:56:31.070	20170718165631070_02-00017.raw	18/07/2017	16:56:31.000	3D	2.8347490839	W	55.8905874362	N	168.707	12	0.000	0.020	267.652	0.000	
1500396992070475	18/07/2017	16:56:32.070	20170718165632070_02-00018.raw	18/07/2017	16:56:31.799	3D	2.8347489243	W	55.8905869363	N	168.624	12	0.000	0.003	349.475	0.000	
1500396993070487	18/07/2017	16:56:33.070	20170718165633070_02-00019.raw	18/07/2017	16:56:33.000	3D	2.8347491156	W	55.8905865750	N	168.494	12	0.000	0.013	227.565	0.000	
1500396994070492	18/07/2017	16:56:34.070	20170718165634070_02-00020.raw	18/07/2017	16:56:33.799	3D	2.8347490839	W	55.8905862275	N	168.509	12	0.000	0.020	30.096	0.000	
