Trigger timestamp	Date	Time	Filename	GPS Timestamp date	GPS Timestamp time	FIX	Longitude	E/W	Latitude	N/S	Altitude	Satellites locked	Compass variation	Speed over ground [m/s]	Track course	Compass heading 	
1500395665058225	18/07/2017	16:34:25.058	20170718163425058_01-00028.raw	18/07/2017	16:34:25.000	3D	2.8347667942	W	55.8905756218	N	166.881	12	0.000	0.030	267.652	0.000	
1500395666058235	18/07/2017	16:34:26.058	20170718163426058_01-00029.raw	18/07/2017	16:34:25.799	3D	2.8347670423	W	55.8905756007	N	167.039	12	0.000	0.000	0.000	0.000	
1500395667058247	18/07/2017	16:34:27.058	20170718163427058_01-00030.raw	18/07/2017	16:34:27.000	3D	2.8347672256	W	55.8905766761	N	167.164	12	0.000	0.014	177.959	0.000	
1500395668058777	18/07/2017	16:34:28.058	20170718163428058_01-00031.raw	18/07/2017	16:34:27.799	3D	2.8347674010	W	55.8905773246	N	167.235	12	0.000	0.013	227.565	0.000	
1500395669058280	18/07/2017	16:34:29.058	20170718163429058_01-00032.raw	18/07/2017	16:34:29.000	3D	2.8347676887	W	55.8905777756	N	167.383	12	0.000	0.014	177.959	0.000	
1500395670058273	18/07/2017	16:34:30.058	20170718163430058_01-00033.raw	18/07/2017	16:34:29.799	3D	2.8347677930	W	55.8905779068	N	167.530	12	0.000	0.014	357.959	0.000	
1500395671058282	18/07/2017	16:34:31.058	20170718163431058_01-00034.raw	18/07/2017	16:34:31.000	3D	2.8347674421	W	55.8905782214	N	167.651	12	0.000	0.010	267.652	0.000	
1500395672058291	18/07/2017	16:34:32.058	20170718163432058_01-00035.raw	18/07/2017	16:34:31.799	3D	2.8347672113	W	55.8905784128	N	167.842	12	0.000	0.000	0.000	0.000	
1500395673058301	18/07/2017	16:34:33.058	20170718163433058_01-00036.raw	18/07/2017	16:34:33.000	3D	2.8347659991	W	55.8905788064	N	168.114	12	0.000	0.010	252.072	0.000	
1500395674058311	18/07/2017	16:34:34.058	20170718163434058_01-00037.raw	18/07/2017	16:34:33.799	3D	2.8347654807	W	55.8905792520	N	168.274	12	0.000	0.012	58.933	0.000	
