Trigger timestamp	Date	Time	Filename	GPS Timestamp date	GPS Timestamp time	FIX	Longitude	E/W	Latitude	N/S	Altitude	Satellites locked	Compass variation	Speed over ground [m/s]	Track course	Compass heading 	
1500395525056918	18/07/2017	16:32:05.056	20170718163205056_00-00000.raw	18/07/2017	16:32:05.000	3D	2.8347520984	W	55.8906193529	N	167.883	12	0.000	0.003	169.475	0.000	
1500395526056927	18/07/2017	16:32:06.056	20170718163206056_00-00001.raw	18/07/2017	16:32:05.799	3D	2.8347525694	W	55.8906192172	N	167.881	12	0.000	0.010	284.959	0.000	
1500395527056930	18/07/2017	16:32:07.056	20170718163207056_00-00002.raw	18/07/2017	16:32:07.000	3D	2.8347527527	W	55.8906190838	N	167.806	12	0.000	0.008	356.578	0.000	
1500395528056947	18/07/2017	16:32:08.056	20170718163208056_00-00003.raw	18/07/2017	16:32:07.799	3D	2.8347524256	W	55.8906189161	N	167.795	12	0.000	0.008	176.578	0.000	
1500395529056956	18/07/2017	16:32:09.056	20170718163209056_00-00004.raw	18/07/2017	16:32:09.000	3D	2.8347519467	W	55.8906185746	N	167.736	12	0.000	0.030	219.581	0.000	
1500395530056964	18/07/2017	16:32:10.056	20170718163210056_00-00005.raw	18/07/2017	16:32:09.799	3D	2.8347514520	W	55.8906184371	N	167.746	12	0.000	0.006	0.000	0.000	
1500395531056975	18/07/2017	16:32:11.056	20170718163211056_00-00006.raw	18/07/2017	16:32:11.000	3D	2.8347506302	W	55.8906181320	N	167.745	12	0.000	0.000	0.000	0.000	
1500395532056985	18/07/2017	16:32:12.056	20170718163212056_00-00007.raw	18/07/2017	16:32:11.799	3D	2.8347499917	W	55.8906178445	N	167.694	12	0.000	0.017	213.603	0.000	
1500395533056986	18/07/2017	16:32:13.056	20170718163213056_00-00008.raw	18/07/2017	16:32:13.000	3D	2.8347495207	W	55.8906173758	N	167.597	12	0.000	0.011	102.127	0.000	
1500395534057003	18/07/2017	16:32:14.057	20170718163214057_00-00009.raw	18/07/2017	16:32:13.799	3D	2.8347500154	W	55.8906170097	N	167.504	12	0.000	0.013	47.565	0.000	
1500395535057012	18/07/2017	16:32:15.057	20170718163215057_00-00010.raw	18/07/2017	16:32:15.000	3D	2.8347508531	W	55.8906168590	N	167.394	12	0.000	0.017	322.106	0.000	
1500395536057020	18/07/2017	16:32:16.057	20170718163216057_00-00011.raw	18/07/2017	16:32:15.799	3D	2.8347513240	W	55.8906168744	N	167.417	12	0.000	0.013	227.565	0.000	
1500395537057029	18/07/2017	16:32:17.057	20170718163217057_00-00012.raw	18/07/2017	16:32:17.000	3D	2.8347524177	W	55.8906169784	N	167.494	12	0.000	0.008	176.578	0.000	
1500395538057040	18/07/2017	16:32:18.057	20170718163218057_00-00013.raw	18/07/2017	16:32:17.799	3D	2.8347531842	W	55.8906169651	N	167.567	12	0.000	0.008	176.578	0.000	
1500395539057049	18/07/2017	16:32:19.057	20170718163219057_00-00014.raw	18/07/2017	16:32:19.000	3D	2.8347544691	W	55.8906173121	N	167.614	12	0.000	0.011	297.495	0.000	
1500395540057058	18/07/2017	16:32:20.057	20170718163220057_00-00015.raw	18/07/2017	16:32:19.799	3D	2.8347554189	W	55.8906172662	N	167.629	12	0.000	0.020	145.763	0.000	
1500395541057068	18/07/2017	16:32:21.057	20170718163221057_00-00016.raw	18/07/2017	16:32:21.000	3D	2.8347571589	W	55.8906170268	N	167.635	12	0.000	0.006	0.000	0.000	
1500395542057076	18/07/2017	16:32:22.057	20170718163222057_00-00017.raw	18/07/2017	16:32:21.799	3D	2.8347584912	W	55.8906167618	N	167.474	12	0.000	0.010	267.652	0.000	
1500395543057083	18/07/2017	16:32:23.057	20170718163223057_00-00018.raw	18/07/2017	16:32:23.000	3D	2.8347601033	W	55.8906163196	N	167.375	12	0.000	0.010	267.652	0.000	
1500395544057097	18/07/2017	16:32:24.057	20170718163224057_00-00019.raw	18/07/2017	16:32:23.799	3D	2.8347612048	W	55.8906158431	N	167.338	12	0.000	0.019	178.546	0.000	
1500395545057107	18/07/2017	16:32:25.057	20170718163225057_00-00020.raw	18/07/2017	16:32:25.000	3D	2.8347630081	W	55.8906154928	N	167.183	12	0.000	0.026	306.864	0.000	
1500395546057116	18/07/2017	16:32:26.057	20170718163226057_00-00021.raw	18/07/2017	16:32:25.799	3D	2.8347637825	W	55.8906150502	N	167.168	12	0.000	0.011	282.127	0.000	
1500395547057125	18/07/2017	16:32:27.057	20170718163227057_00-00022.raw	18/07/2017	16:32:27.000	3D	2.8347645964	W	55.8906145759	N	167.059	12	0.000	0.012	238.933	0.000	
1500395548057134	18/07/2017	16:32:28.057	20170718163228057_00-00023.raw	18/07/2017	16:32:27.799	3D	2.8347652270	W	55.8906140840	N	167.000	12	0.000	0.011	282.127	0.000	
1500395549057147	18/07/2017	16:32:29.057	20170718163229057_00-00024.raw	18/07/2017	16:32:29.000	3D	2.8347659777	W	55.8906134689	N	167.010	12	0.000	0.006	180.000	0.000	
1500395550057152	18/07/2017	16:32:30.057	20170718163230057_00-00025.raw	18/07/2017	16:32:29.799	3D	2.8347664566	W	55.8906132564	N	166.977	12	0.000	0.010	267.652	0.000	
1500395551057179	18/07/2017	16:32:31.057	20170718163231057_00-00026.raw	18/07/2017	16:32:31.000	3D	2.8347670951	W	55.8906129899	N	166.937	12	0.000	0.013	306.864	0.000	
1500395552057170	18/07/2017	16:32:32.057	20170718163232057_00-00027.raw	18/07/2017	16:32:31.799	3D	2.8347675897	W	55.8906128252	N	166.877	12	0.000	0.003	349.475	0.000	
1500395553057179	18/07/2017	16:32:33.057	20170718163233057_00-00028.raw	18/07/2017	16:32:33.000	3D	2.8347680844	W	55.8906128620	N	166.850	12	0.000	0.011	117.495	0.000	
1500395554057186	18/07/2017	16:32:34.057	20170718163234057_00-00029.raw	18/07/2017	16:32:33.799	3D	2.8347680607	W	55.8906125888	N	166.859	12	0.000	0.008	176.578	0.000	
1500395555057199	18/07/2017	16:32:35.057	20170718163235057_00-00030.raw	18/07/2017	16:32:35.000	3D	2.8347678616	W	55.8906119693	N	166.845	12	0.000	0.010	87.652	0.000	
1500395556057209	18/07/2017	16:32:36.057	20170718163236057_00-00031.raw	18/07/2017	16:32:35.799	3D	2.8347675186	W	55.8906119050	N	166.886	12	0.000	0.000	0.000	0.000	
1500395557057217	18/07/2017	16:32:37.057	20170718163237057_00-00032.raw	18/07/2017	16:32:37.000	3D	2.8347671915	W	55.8906119892	N	166.916	12	0.000	0.010	267.652	0.000	
1500395558059670	18/07/2017	16:32:38.059	20170718163238059_00-00033.raw	18/07/2017	16:32:37.799	3D	2.8347670397	W	55.8906119664	N	166.894	12	0.000	0.000	0.000	0.000	
1500395559057235	18/07/2017	16:32:39.057	20170718163239057_00-00034.raw	18/07/2017	16:32:39.000	3D	2.8347660583	W	55.8906117153	N	166.900	12	0.000	0.032	35.813	0.000	
1500395560057245	18/07/2017	16:32:40.057	20170718163240057_00-00035.raw	18/07/2017	16:32:39.799	3D	2.8347652128	W	55.8906114895	N	166.966	12	0.000	0.006	0.000	0.000	
1500395561057255	18/07/2017	16:32:41.057	20170718163241057_00-00036.raw	18/07/2017	16:32:41.000	3D	2.8347641839	W	55.8906111453	N	167.064	12	0.000	0.011	72.250	0.000	
1500395562057264	18/07/2017	16:32:42.057	20170718163242057_00-00037.raw	18/07/2017	16:32:41.799	3D	2.8347631787	W	55.8906108225	N	167.113	12	0.000	0.006	0.000	0.000	
1500395563057273	18/07/2017	16:32:43.057	20170718163243057_00-00038.raw	18/07/2017	16:32:43.000	3D	2.8347614481	W	55.8906099492	N	167.263	12	0.000	0.023	297.495	0.000	
1500395564057282	18/07/2017	16:32:44.057	20170718163244057_00-00039.raw	18/07/2017	16:32:43.799	3D	2.8347604113	W	55.8906094300	N	167.351	12	0.000	0.022	110.000	0.000	
1500395565057292	18/07/2017	16:32:45.057	20170718163245057_00-00040.raw	18/07/2017	16:32:45.000	3D	2.8347593746	W	55.8906084072	N	167.355	12	0.000	0.042	286.837	0.000	
1500395566057300	18/07/2017	16:32:46.057	20170718163246057_00-00041.raw	18/07/2017	16:32:45.799	3D	2.8347582335	W	55.8906079079	N	167.320	12	0.000	0.031	72.135	0.000	
