Trigger timestamp	Date	Time	Filename	GPS Timestamp date	GPS Timestamp time	FIX	Longitude	E/W	Latitude	N/S	Altitude	Satellites locked	Compass variation	Speed over ground [m/s]	Track course	Compass heading 	
1500398546730826	18/07/2017	17:22:26.730	20170718172226730_00-00000.raw	18/07/2017	17:22:26.799	3D	2.8347388683	W	55.8905944862	N	168.007	10	0.000	0.011	0.000	0.000	
1500398547730832	18/07/2017	17:22:27.730	20170718172227730_00-00001.raw	18/07/2017	17:22:27.799	3D	2.8347387576	W	55.8905942019	N	168.209	10	0.000	0.011	174.830	0.000	
1500398548730846	18/07/2017	17:22:28.730	20170718172228730_00-00002.raw	18/07/2017	17:22:28.799	3D	2.8347385269	W	55.8905943933	N	168.400	10	0.000	0.013	227.565	0.000	
1500398549730865	18/07/2017	17:22:29.730	20170718172229730_00-00003.raw	18/07/2017	17:22:22.200	3D	2.8347393333	W	55.8905953333	N	168.530	10	0.000	0.003	169.475	0.000	
1500398550730866	18/07/2017	17:22:30.730	20170718172230730_00-00004.raw	18/07/2017	17:22:30.799	3D	2.8347394530	W	55.8905954340	N	168.648	10	0.000	0.020	145.763	0.000	
1500398551730875	18/07/2017	17:22:31.730	20170718172231730_00-00005.raw	18/07/2017	17:22:31.799	3D	2.8347407379	W	55.8905962343	N	168.768	10	0.000	0.008	176.578	0.000	
1500398552730883	18/07/2017	17:22:32.730	20170718172232730_00-00006.raw	18/07/2017	17:22:32.799	3D	2.8347419343	W	55.8905975053	N	168.805	10	0.000	0.013	227.565	0.000	
1500398553730893	18/07/2017	17:22:33.730	20170718172233730_00-00007.raw	18/07/2017	17:22:22.200	3D	2.8347393333	W	55.8905953333	N	169.162	10	0.000	0.000	0.000	0.000	
1500398554730902	18/07/2017	17:22:34.730	20170718172234730_00-00008.raw	18/07/2017	17:22:34.799	3D	2.8347399191	W	55.8905960232	N	169.497	10	0.000	0.013	227.565	0.000	
1500398555730913	18/07/2017	17:22:35.730	20170718172235730_00-00009.raw	18/07/2017	17:22:35.799	3D	2.8347389866	W	55.8905955345	N	169.715	10	0.000	0.008	176.578	0.000	
1500398556730923	18/07/2017	17:22:36.730	20170718172236730_00-00010.raw	18/07/2017	17:22:36.799	3D	2.8347385567	W	55.8905952575	N	169.917	10	0.000	0.003	169.475	0.000	
1500398557730932	18/07/2017	17:22:37.730	20170718172237730_00-00011.raw	18/07/2017	17:22:22.200	3D	2.8347393333	W	55.8905953333	N	170.080	10	0.000	0.000	0.000	0.000	
1500398558730942	18/07/2017	17:22:38.730	20170718172238730_00-00012.raw	18/07/2017	17:22:38.799	3D	2.8347377681	W	55.8905951706	N	170.238	10	0.000	0.017	213.603	0.000	
1500398559730951	18/07/2017	17:22:39.730	20170718172239730_00-00013.raw	18/07/2017	17:22:39.799	3D	2.8347375373	W	55.8905952109	N	170.404	10	0.000	0.006	0.000	0.000	
1500398560730961	18/07/2017	17:22:40.730	20170718172240730_00-00014.raw	18/07/2017	17:22:40.799	3D	2.8347371549	W	55.8905951277	N	170.531	10	0.000	0.006	0.000	0.000	
1500398561730972	18/07/2017	17:22:41.730	20170718172241730_00-00015.raw	18/07/2017	17:22:22.200	3D	2.8347393333	W	55.8905953333	N	170.605	10	0.000	0.013	227.565	0.000	
1500398562730979	18/07/2017	17:22:42.730	20170718172242730_00-00016.raw	18/07/2017	17:22:42.799	3D	2.8347365337	W	55.8905944566	N	170.738	10	0.000	0.013	227.565	0.000	
1500398563730989	18/07/2017	17:22:43.730	20170718172243730_00-00017.raw	18/07/2017	17:22:43.799	3D	2.8347361354	W	55.8905941242	N	170.860	10	0.000	0.010	252.072	0.000	
1500398564730999	18/07/2017	17:22:44.730	20170718172244730_00-00018.raw	18/07/2017	17:22:44.799	3D	2.8347362476	W	55.8905940275	N	170.952	10	0.000	0.013	126.864	0.000	
1500398565731009	18/07/2017	17:22:45.731	20170718172245731_00-00019.raw	18/07/2017	17:22:22.200	3D	2.8347393333	W	55.8905953333	N	171.052	10	0.000	0.024	232.969	0.000	
1500398566731017	18/07/2017	17:22:46.731	20170718172246731_00-00020.raw	18/07/2017	17:22:46.799	3D	2.8347359853	W	55.8905932167	N	171.049	10	0.000	0.000	0.000	0.000	
1500398567731037	18/07/2017	17:22:47.731	20170718172247731_00-00021.raw	18/07/2017	17:22:47.799	3D	2.8347359853	W	55.8905929145	N	171.000	10	0.000	0.010	267.652	0.000	
1500398568731036	18/07/2017	17:22:48.731	20170718172248731_00-00022.raw	18/07/2017	17:22:48.799	3D	2.8347356660	W	55.8905924686	N	170.924	10	0.000	0.049	232.969	0.000	
1500398569731047	18/07/2017	17:22:49.731	20170718172249731_00-00023.raw	18/07/2017	17:22:22.200	3D	2.8347393333	W	55.8905953333	N	170.877	10	0.000	0.020	267.652	0.000	
1500398570731058	18/07/2017	17:22:50.731	20170718172250731_00-00024.raw	18/07/2017	17:22:50.799	3D	2.8347346609	W	55.8905911889	N	170.816	10	0.000	0.013	306.864	0.000	
1500398571731070	18/07/2017	17:22:51.731	20170718172251731_00-00025.raw	18/07/2017	17:22:51.799	3D	2.8347342863	W	55.8905904749	N	170.821	10	0.000	0.021	64.989	0.000	
1500398572731077	18/07/2017	17:22:52.731	20170718172252731_00-00026.raw	18/07/2017	17:22:52.799	3D	2.8347340555	W	55.8905898605	N	170.880	10	0.000	0.006	0.000	0.000	
1500398573731086	18/07/2017	17:22:53.731	20170718172253731_00-00027.raw	18/07/2017	17:22:22.200	3D	2.8347393333	W	55.8905953333	N	170.921	10	0.000	0.010	267.652	0.000	
1500398574731093	18/07/2017	17:22:54.731	20170718172254731_00-00028.raw	18/07/2017	17:22:54.799	3D	2.8347336493	W	55.8905892523	N	170.974	10	0.000	0.045	164.748	0.000	
1500398575731106	18/07/2017	17:22:55.731	20170718172255731_00-00029.raw	18/07/2017	17:22:55.799	3D	2.8347335213	W	55.8905894523	N	170.935	10	0.000	0.041	75.905	0.000	
1500398576731113	18/07/2017	17:22:56.731	20170718172256731_00-00030.raw	18/07/2017	17:22:56.799	3D	2.8347334249	W	55.8905900502	N	170.889	10	0.000	0.040	11.578	0.000	
